# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits.
"cell","design","n","p","arm","arm_label","pilot","reps","fits","mean_dim","ps_nonconv","ps_boundary","ps_rankdef_fits","out_rankdef_fits","ginv_fits","trim_frac","max_dpsi_maxit","max_dcorr_maxit","est_check","max_d_est_maxit","max_d_se_stk_maxit","cov_flips_maxit"
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,11.96,0,0,0,0,0,0.0686,NA,NA,0,0,0,0
"B2000_k0.75","B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"bch","BCH double selection + AIPW","ols",10,50,14.94,0,0,0,0,0,0.20565,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.032025,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.207825,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,7,0,0,0,0,0,0.032025,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,12.62,0,0,0,0,0,0.101525,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,5.86,0,0,0,0,0,0.0318625,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,7,0,0,0,0,0,0.032025,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,12.62,0,0,0,0,0,0.101525,NA,NA,0,0,0,0
"B8000_k1.50","B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"bch","BCH double selection + AIPW","ols",10,50,14.98,0,0,0,0,0,0.207525,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.032925,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.2105875,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,6.54,0,0,0,0,0,0.0217375,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,13.2,0,0,0,0,0,0.0774125,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,5.76,0,0,0,0,0,0.0268125,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,6.76,0,0,0,0,0,0.026875,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,13.2,0,0,0,0,0,0.0774125,NA,NA,0,0,0,0
"B8000_k1.10","B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"bch","BCH double selection + AIPW","ols",10,50,15.86,0,0,0,0,0,0.21015,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oracle","oracle set + AIPW","ols",10,50,7,0,0,0,0,0,0.032725,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"full","full set + AIPW","ols",10,50,21,0,0,0,0,0,0.20745,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"out_thr","outcome-only thresholded + AIPW","ols",10,50,5.04,0,0,0,0,0,0.0002625,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"out_bic","outcome-only BIC-lasso + AIPW","ols",10,50,12.16,0,0,0,0,0,0.073775,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oal_fix","OAL arm alone (fixed lambda) + AIPW","ols",10,50,4.44,0,0,0,0,0,5e-04,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oads_thr","ODS-thr (theory object) + AIPW","ols",10,50,5.08,0,0,0,0,0,5e-04,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oads_bic","ODS-bic (software variant) + AIPW","ols",10,50,12.16,0,0,0,0,0,0.073775,NA,NA,0,0,0,0
"B8000_k0.75","B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"bch","BCH double selection + AIPW","ols",10,50,14.7,0,0,0,0,0,0.2071,NA,NA,0,0,0,0
